image_name,bio_name,exclude,info_quality_DZ,trial_type1,trial_type2,trial_type3,check_question,check_answer,participant_group
image/Drew_Johnson.jpeg,bio/Drew_Johnson.txt,0,medium,photo,dual,bio,Drew Johnson worked at the National Taxpayers Union,1,2
image/Emilia_Sykes.png,bio/Emilia_Sykes.txt,0,high,photo,dual,bio,Emilia Sykes supports removing sales tax on feminine hygiene products,1,2
image/Eric_Sorenson.jpeg,bio/Eric_Sorenson.txt,0,low,photo,dual,bio,Eric Sorenson ran for the U.S. House of Representatives in Illinois’s 17th Congressional District in 2022 and lost by a narrow margin,0,2
image/Eugene_Vindman.jpg,bio/Eugene_Vindman.txt,0,high,photo,dual,bio,Eugene Vindman was born and grew up in New York City,0,2
image/Evan_Low.jpeg,bio/Evan_Low.txt,0,high,bio,photo,dual,Evan Low is the youngest Mexican American congressman in the nation,0,2
image/Frank_Mrvan.jpeg,bio/Frank_Mrvan.txt,0,medium,bio,photo,dual,Frank Mrvan supports anti-semitism and socialism within America,0,2
image/Gabe_Evans.jpeg,bio/Gabe_Evans.txt,0,high,bio,photo,dual,"Gabe Evans is married to Taylor Moore, with one daughter and two dogs",0,2
image/Gabriel_Vasquez.jpg,bio/Gabriel_Vasquez.txt,0,high,bio,photo,dual,Gabriel Vasquez received Bachelor of Arts degree in English and Journalism from New Mexico State University,1,2
image/George_Logan.jpeg,bio/George_Logan.txt,0,high,bio,photo,dual,George Logan is fluent in French and Italian,0,2
image/George_Whitesides.jpeg,bio/George_Whitesides.txt,0,medium,bio,photo,dual,George Whitesides was appointed chief of staff of NASA during the Obama Administration and received NASA's highest reward,1,2
image/Greg_Kidd.jpeg,bio/Greg_Kidd.txt,0,low,bio,photo,dual,Gregg Kidd founded a courier dispatch comapny called Courier Express,0,2
image/Henry_Cuellar.jpg,bio/Henry_Cuellar.txt,0,high,bio,photo,dual,Henry Cuellar supports reproductive rights and gun-control legislation,0,2
image/Hillary_Scholten.jpeg,bio/Hillary_Scholten.txt,0,high,dual,bio,photo,Hillary Scholten has a Juris Doctor degree from the University of Maryland Thurgood School of Law,1,2
image/Jahana_Hayes.jpeg,bio/Jahana_Hayes.txt,0,high,dual,bio,photo,Jahana Hayes received her Master of Business Administration from University of Michigan,0,2
image/James_Wiley.jpeg,bio/James_Wiley.txt,0,low,dual,bio,photo,James Wiley supports the advancement of medical science and term limits for government members,1,2
image/Janelle_Bynum.jpg,bio/Janelle_Bynum.txt,0,medium,dual,bio,photo,Janelle Bynum did not attend college. She has a high school diploma,0,2
image/Janelle_Stelson.png,bio/Janelle_Stelson.txt,0,low,dual,bio,photo,Janelle Stelson assisted her father-in-law in running a Taco Bell franchise,0,2
image/Jared_Golden.jpeg,bio/Jared_Golden.txt,0,high,dual,bio,photo,"Jared Golden served in the U.S. Marine Corps, completing two tours in Iraq and Afghanistan",1,2
image/Jeffrey_Hurd.jpeg,bio/Jeffrey_Hurd.txt,0,medium,dual,bio,photo,Jeffrey Hurd started his own law firm after practicing law at Sullivan & Cromwell in New York ,1,2
image/Jennifer_Kiggans.png,bio/Jennifer_Kiggans.txt,0,high,dual,bio,photo,Jennifer Kiggans has both a Bachelor's and Master's of Science degree in Nursing,1,2
image/Jerrod_Sessler.jpg,bio/Jerrod_Sessler.txt,0,low,photo,dual,bio,Jerrod Sessler has a Bachelor of Science degree in Engineering from University of Michigan,0,3
image/Joe_Kent.jpg,bio/Joe_Kent.txt,0,medium,photo,dual,bio,"Joe Kent's first wife was named Shannon, and his current wife is named Heather",1,3
image/Joe_Teirab.jpeg,bio/Joe_Teirab.txt,0,medium,photo,dual,bio,Joe Teirab received his Juris Doctor degree from Harvard Law School,1,3
image/John_Avlon.jpg,bio/John_Avlon.txt,0,medium,photo,dual,bio,John Avlon was the editor-in-chief of The Atlantic for five years,0,3
image/John_Duarte.jpeg,bio/John_Duarte.txt,0,low,photo,dual,bio,John Duarte received his Ph.D. from Stanford University,0,3
image/John_Howe.png,bio/John_Howe.txt,0,high,photo,dual,bio,John Howe was an elected member of the Wyoming Senate from the 21st District,0,3
image/John_James.jpeg,bio/John_James.txt,0,high,photo,dual,bio,John James has a Master of Science degree in Supply Chain Management and Information Systems from Pennsylvania State University,1,3
image/John_Mannion.png,bio/John_Mannion.txt,0,medium,photo,dual,bio,"John Mannion has a Bachelor and Master of Arts, and a Ph.D. in Education",0,3
image/Joseph_McGraw.jpeg,bio/Joseph_McGraw.txt,0,medium,bio,photo,dual,"Joseph McGraw studied Nursing at University of San Francisco, but dropped out after two years",0,3
image/Josh_Riley.jpg,bio/Josh_Riley.txt,0,high,bio,photo,dual,Josh Riley was a partner to only one law firm exclusively,0,3
image/Juan_Ciscomani.jpeg,bio/Juan_Ciscomani.txt,0,high,bio,photo,dual,Juan Ciscomani enjoys being a coach to his children's soccer teams,0,3
image/Ken_Calvert.jpeg,bio/Ken_Calvert.txt,0,high,bio,photo,dual,Ken Calvert has a Bachelor of Science degree in Computer Science from University of Southern California,0,3
image/Kevin_Coughlin.jpg,bio/Kevin_Coughlin.txt,0,high,bio,photo,dual,"Kevin Coughlin was the Chairman of the Senate Health, Human Services, and Aging Committee ",1,3
image/Kirsten_Engel.jpeg,bio/Kirsten_Engel.txt,0,high,bio,photo,dual,"Kirsten Engel and her husband, Isaac, have two sons named Angelo and Kaiden",0,3
image/Kristen_Rivet.jpeg,bio/Kristen_Rivet.txt,0,high,bio,photo,dual,Kristen Rivet has an Associate's degree in Criminal Justice from Northeastern University,0,3
image/Lana_Leguia.jpg,bio/Lana_Leguia.txt,0,low,bio,photo,dual,Lana Leguia earned a high school diploma through homeschooling,1,3
image/Lanan_Baccam.jpeg,bio/Lanan_Baccam.txt,0,medium,dual,bio,photo,Lanon Baccam earned her Juris Doctor degree from University of Pennsylvania,0,3
image/Laura_Gillen.jpg,bio/Laura_Gillen.txt,0,medum,dual,bio,photo,Laura Gillen worked as an adjunct professor at University of Mount Saint Vincent,0,3
image/Laurie_Buckhout.png,bio/Laurie_Buckhout.txt,0,medium,dual,bio,photo,"Laurie Buckhout served in the U.S. Army for 26 years, reaching the rank of Colonel",1,3
image/Lori_Chavez-DeRemer.jpg,bio/Lori_Chavez-DeRemer.txt,0,medium,dual,bio,photo,Lori Chavez-DeRemer is the first in her family to graduate from college,1,3
image/Louis_Palus.jpeg,bio/Louis_Palus.txt,0,low,dual,bio,photo,Louis Palus has a Bachelor of Arts degree in Philosophy from San Diego State University,0,3
image/Luis_Pozzolo.jpeg,bio/Luis_Pozzolo.txt,0,low,dual,bio,photo,Luis Pozzolo and his wife immigrated to the U.S. in 1998 from Ecuador,0,3
image/Marcus_Molinaro.jpg,bio/Marcus_Molinaro.txt,0,high,dual,bio,photo,Marcus Molinaro has an Associate of Science degree in Humanities and Social Sciences from Dutchess Community College ,1,3
image/Marcy_Kaptur.jpg,bio/Marcy_Kaptur.txt,0,high,dual,bio,photo,Marcy Kaptur is the longest serving woman in congressional history,1,3
image/Marie_Gluesenkamp_Perez.png,bio/Marie_Gluesenkamp_Perez.txt,0,medium,photo,dual,bio,Marie Gluesenkamp Perez has a wife named Sophie. They have no children together,0,4
image/Mark_Armodei.jpeg,bio/Mark_Armodei.txt,0,high,photo,dual,bio,Mark Amodei was a member of the Nevada Senate and the Nevada Assembly,1,4
